CustomerID	Title	FirstName	MiddleName	LastName	EmailAddress	Phone
1	Mr.	Orlando	N.	Gee	orlando0@adventure-works.com	245-555-0173
2	Mr.	Keith	NULL	Harris	keith0@adventure-works.com	170-555-0127
3	Ms.	Donna	F.	Carreras	donna0@adventure-works.com	279-555-0130
4	Ms.	Janet	M.	Gates	janet1@adventure-works.com	710-555-0173
5	Mr.	Lucy	NULL	Harrington	lucy0@adventure-works.com	828-555-0186
6	Ms.	Rosmarie	J.	Carroll	rosmarie0@adventure-works.com	244-555-0112
7	Mr.	Dominic	P.	Gash	dominic0@adventure-works.com	192-555-0173
10	Ms.	Kathleen	M.	Garza	kathleen0@adventure-works.com	150-555-0127
11	Ms.	Katherine	NULL	Harding	katherine0@adventure-works.com	926-555-0159
12	Mr.	Johnny	A.	Caprio	johnny0@adventure-works.com	112-555-0191
16	Mr.	Christopher	R.	Beck	christopher1@adventure-works.com	1 (11) 500 555-0132
18	Mr.	David	J.	Liu	david20@adventure-works.com	440-555-0132
19	Mr.	John	A.	Beaver	john8@adventure-works.com	521-555-0195
20	Ms.	Jean	P.	Handley	jean1@adventure-works.com	582-555-0113
21	NULL	Jinghao	NULL	Liu	jinghao1@adventure-works.com	928-555-0116
22	Ms.	Linda	E.	Burnett	linda4@adventure-works.com	121-555-0121
23	Mr.	Kerim	NULL	Hanif	kerim0@adventure-works.com	216-555-0122
24	Mr.	Kevin	NULL	Liu	kevin5@adventure-works.com	926-555-0164
25	Mr.	Donald	L.	Blanton	donald0@adventure-works.com	357-555-0161
28	Ms.	Jackie	E.	Blackwell	jackie0@adventure-works.com	972-555-0163
29	Mr.	Bryan	NULL	Hamilton	bryan2@adventure-works.com	344-555-0144
30	Mr.	Todd	R.	Logan	todd0@adventure-works.com	783-555-0110
34	Ms.	Barbara	J.	German	barbara4@adventure-works.com	1 (11) 500 555-0181
37	Mr.	Jim	NULL	Geist	jim1@adventure-works.com	724-555-0161
38	Ms.	Betty	M.	Haines	betty0@adventure-works.com	867-555-0114
39	Ms.	Sharon	J.	Looney	sharon2@adventure-works.com	377-555-0132
40	Mr.	Darren	NULL	Gehring	darren0@adventure-works.com	417-555-0182
41	Ms.	Erin	M.	Hagens	erin1@adventure-works.com	244-555-0127
42	Mr.	Jeremy	NULL	Los	jeremy0@adventure-works.com	911-555-0165
43	Ms.	Elsa	NULL	Leavitt	elsa0@adventure-works.com	482-555-0174
46	Mr.	David	O	Lawrence	david19@adventure-works.com	653-555-0159
47	Ms.	Hattie	J.	Haemon	hattie0@adventure-works.com	141-555-0172
48	Ms.	Anita	R.	Lucerne	anita0@adventure-works.com	164-555-0118
52	Ms.	Rebecca	NULL	Laszlo	rebecca2@adventure-works.com	1 (11) 500 555-0155
55	Mr.	Eric	NULL	Lang	eric6@adventure-works.com	932-555-0163
56	Mr.	Brian	NULL	Groth	brian5@adventure-works.com	461-555-0118
57	Ms.	Judy	R.	Lundahl	judy1@adventure-works.com	260-555-0130
58	Mr.	Peter	NULL	Kurniawan	peter4@adventure-works.com	436-555-0160
